Infinitiv,Praeteritum,Perfeckt
backen,backte,hat gebacken
befehlen,befahl,hat befohlen
beginnen,begann,hat begonnen
beißen,biss,hat gebissen
biegen,bog,hat gebogen
bieten,bot,hat geboten
binden,band,hat gebunden
bitten,bat,hat gebeten
blasen,blies,hat geblasen
bleiben,blieb,ist geblieben
braten,briet,hat gebraten
brechen,brach,hat gebrochen
brennen,brannte,hat gebrannt
bringen,brachte,hat gebracht
denken,dachte,hat gedacht
dürfen,durfte,hat gedurft
empfehlen,empfahl,hat empfohlen
erschrecken,erschrak,ist erschrocken
essen,aß,hat gegessen
fahren,fuhr,ist gefahren
fallen,fiel,ist gefallen
fangen,fing,hat gefangen
finden,fand,hat gefunden
fliegen,flog,ist geflogen
fliehen,floh,ist geflohen
fließen,floss,ist geflossen
fressen,fraß,hat gefressen
frieren,fror,hat gefroren
geben,gab,hat gegeben
gehen,ging,ist gegangen
gelingen,gelang,ist gelungen
genießen,genoss,hat genossen
geschehen,geschah,ist geschehen
gewinnen,gewann,hat gewonnen
gießen,goss,hat gegossen
graben,grub,hat gegraben
greifen,griff,hat gegriffen
haben,hatte,hat gehabt
halten,hielt,hat gehalten
heben,hob,hat gehoben
heißen,hieß,hat geheißen
helfen,half,hat geholfen
kennen,kannte,hat gekannt
klingen,klang,hat geklungen
kommen,kam,ist gekommen
können,konnte,hat gekonnt
kriechen,kroch,ist gekrochen
laden,lud,hat geladen
lassen,ließ,hat gelassen
laufen,lief,ist gelaufen
leiden,litt,hat gelitten
leihen,lieh,hat geliehen
lesen,las,hat gelesen
liegen,lag,hat gelegen
lügen,log,hat gelogen
meiden,mied,hat gemieden
melken,molk,hat gemolken
messen,maß,hat gemessen
mögen,mochte,hat gemocht
müssen,musste,hat gemusst
nehmen,nahm,hat genommen
nennen,nannte,hat genannt
pfeifen,pfiff,hat gepfiffen
raten,riet,hat geraten
reiben,rieb,hat gerieben
reißen,riss,hat gerissen
reiten,ritt,ist geritten
rennen,rannte,ist gerannt
riechen,roch,hat gerochen
rinnen,rann,ist geronnen
rufen,rief,hat gerufen
saufen,soff,hat gesoffen
scheinen,schien,hat geschienen
schieben,schob,hat geschoben
schießen,schoss,hat geschossen
schlafen,schlief,hat geschlafen
schlagen,schlug,hat geschlagen
schleichen,schlich,ist geschlichen
schleifen,schliff,hat geschliffen
schließen,schloss,hat geschlossen
schlingen,schlang,hat geschlungen
schmeißen,schmiss,hat geschmissen
schmelzen,schmolz,hat / ist geschmolzen
schneiden,schnitt,hat geschnitten
schreiben,schrieb,hat geschrieben
schreien,schrie,hat geschrien
schweigen,schwieg,hat geschwiegen
schwimmen,schwamm,ist geschwommen
schwören,schwor,hat geschworen
sehen,sah,hat gesehen
sein,war,ist gewesen
singen,sang,hat gesungen
sinken,sank,ist gesunken
sitzen,saß,hat gesessen
sollen,sollte,hat gesollt
spinnen,spann,hat gesponnen
sprechen,sprach,hat gesprochen
springen,sprang,ist gesprungen
stechen,stach,hat gestochen
stehen,stand,hat gestanden
stehlen,stahl,hat gestohlen
steigen,stieg,ist gestiegen
sterben,starb,ist gestorben
stinken,stank,hat gestunken
stoßen,stieß,hat gestoßen
streichen,strich,hat gestrichen
streiten,stritt,hat gestritten
tragen,trug,hat getragen
treffen,traf,hat getroffen
treiben,trieb,hat getrieben
treten,trat,hat getreten
trinken,trank,hat getrunken
tun,tat,hat getan
verderben,verdarb,ist verdorben
vergessen,vergaß,hat vergessen
verlieren,verlor,hat verloren
wachsen,wuchs,ist gewachsen
waschen,wusch,hat gewaschen
werden,wurde,ist geworden
werfen,warf,hat geworfen
wiegen,wog,hat gewogen
wissen,wusste,hat gewusst
wollen,wollte,hat gewollt
ziehen,zog,hat gezogen
zwingen,zwang,hat gezwungen
